"","fecha","posicion","cancion","artista"
"1",1965-07-17,34,"Don't Just Stand There","Patty Duke"
"2",1997-04-19,97,"Don't Keep Wasting My Time","Teddy Pendergrass"
"3",1971-04-24,96,"Don't Knock My Love - Pt. 1","Wilson Pickett"
"4",1974-07-13,90,"Don't Knock My Love","Diana Ross & Marvin Gaye"
"5",1981-03-28,90,"Don't Know Much","Bill Medley"
"6",1989-09-30,72,"Don't Know Much","Linda Ronstadt (Featuring Aaron Neville)"
"7",1988-09-03,74,"Don't Know What You Got (Till It's Gone)","Cinderella"
"8",2002-09-28,78,"Don't Know Why","Norah Jones"
"9",1998-12-05,73,"Don't Laugh At Me","Mark Wills"
"10",1975-04-19,97,"Don't Leave Me In The Morning","Odia Coates"
"11",1973-01-06,93,"Don't Leave Me Starvin' For Your Love (Part 1)","Holland-Dozier"
"12",1986-12-27,87,"Don't Leave Me This Way","The Communards"
"13",1976-12-18,85,"Don't Leave Me This Way","Thelma Houston"
"14",1995-10-21,67,"Automatic Lover (Call For Love)","Real McCoy"
"15",1996-06-01,67,"Only You","112 Featuring The Notorious B.I.G."
"16",1996-06-29,67,"Someday (From ""The Hunchback Of Notre Dame"")","All-4-One"
"17",1996-11-30,67,"Cold Rock A Party","MC Lyte"
"18",1996-12-21,67,"Space Jam (From ""Space Jam"")","Quad City DJ's"
"19",1997-04-05,67,"Precious Declaration","Collective Soul"
"20",1997-08-23,67,"After 12, Before 6","Sam Salter"
"21",1997-12-27,67,"Santa's A Fat Bitch","Insane Clown Posse"
"22",1998-04-18,67,"Recover Your Soul","Elton John"
"23",1999-06-19,67,"Rollercoaster","B*Witched"
"24",1999-12-11,67,"Blue (Da Ba Dee)","Eiffel 65"
"25",2000-04-22,67,"Oops!...I Did It Again","Britney Spears"
"26",2000-08-19,67,"Bag Lady","Erykah Badu"
"27",2001-08-18,67,"Because I Got High","Afroman"
"28",2002-02-23,67,"All You Wanted","Michelle Branch"
"29",2002-06-01,67,"Call Me","Tweet"
"30",2002-08-17,67,"Aerials","System Of A Down"
"31",2002-09-21,67,"Dirrty","Christina Aguilera Featuring Redman"
"32",2002-11-30,67,"Bump, Bump, Bump","B2K & P. Diddy"
"33",2003-02-01,67,"Clocks","Coldplay"
"34",2003-05-31,67,"Red Dirt Road","Brooks & Dunn"
"35",2003-12-13,67,"Not Today","Mary J. Blige Featuring Eve"
"36",2004-03-06,67,"Bounce","Sarah Connor"
"37",2004-04-03,67,"Paint Me A Birmingham","Tracy Lawrence"
"38",2004-07-24,67,"One Thing","Finger Eleven"
"39",2004-08-28,67,"Nolia Clap","Juvenile, Wacko & Skip"
"40",2004-10-09,67,"Balla Baby","Chingy"
"41",2006-09-23,67,"Right Where You Want Me","Jesse McCartney"
"42",2007-02-17,67,"Say OK","Vanessa Hudgens"
"43",2008-01-12,67,"Bad Day","Alvin And The Chipmunks"
